file,count
HIP14153.tsv.gz,195741
HIP10480.tsv.gz,244843
HIP09253.tsv.gz,239658
HIP14007.tsv.gz,52830
HIP13794.tsv.gz,170890
HIP08792.tsv.gz,231972
HIP13766.tsv.gz,48514
HIP01856.tsv.gz,115938
HIP14060.tsv.gz,121792
HIP05561.tsv.gz,145695
HIP00775.tsv.gz,218907
HIP03216.tsv.gz,111075
HIP03125.tsv.gz,210846
HIP04509.tsv.gz,134648
HIP11717.tsv.gz,113752
HIP17585.tsv.gz,277601
HIP04552.tsv.gz,250801
HIP01571.tsv.gz,134838
HIP02873.tsv.gz,192159
HIP11937.tsv.gz,233789
HIP13303.tsv.gz,211476
HIP00997.tsv.gz,230700
HIP13363.tsv.gz,181543
HIP05434.tsv.gz,162700
HIP13757.tsv.gz,239612
HIP13122.tsv.gz,199732
HIP09041.tsv.gz,105080
HIP14041.tsv.gz,297040
HIP01232.tsv.gz,141703
HIP17534.tsv.gz,247847
HIP04555.tsv.gz,306588
HIP13753.tsv.gz,6526
HIP13983.tsv.gz,166447
HIP14079.tsv.gz,291836
HIP13265.tsv.gz,308251
HIP12034.tsv.gz,346756
HIP03494.tsv.gz,208739
HIP13810.tsv.gz,57399
HIP13209.tsv.gz,142197
HIP01197.tsv.gz,230032
HIP02875.tsv.gz,198149
HIP13658.tsv.gz,268186
HIP01180.tsv.gz,166331
HIP08725.tsv.gz,154138
HIP11784.tsv.gz,91197
HIP00825.tsv.gz,286752
HIP10823.tsv.gz,187980
HIP14053.tsv.gz,294746
HIP05832.tsv.gz,85667
HIP09097.tsv.gz,115084
HIP14202.tsv.gz,130835
HIP02997.tsv.gz,113532
HIP13263.tsv.gz,140440
HIP13699.tsv.gz,235917
HIP14129.tsv.gz,263003
HIP12900.tsv.gz,189682
HIP08888.tsv.gz,256434
HIP01596.tsv.gz,160355
HIP05815.tsv.gz,129809
HIP10846.tsv.gz,329966
HIP05590.tsv.gz,58656
HIP17793.tsv.gz,202051
HIP14004.tsv.gz,194332
HIP13771.tsv.gz,144662
HIP17657.tsv.gz,171168
HIP17449.tsv.gz,210842
HIP03630.tsv.gz,158283
HIP13383.tsv.gz,186671
HIP13818.tsv.gz,159916
HIP02112.tsv.gz,394064
HIP09122.tsv.gz,192693
HIP08499.tsv.gz,313098
HIP13709.tsv.gz,223331
HIP13989.tsv.gz,110177
HIP05551.tsv.gz,144905
HIP04597.tsv.gz,189631
HIP00728.tsv.gz,83828
HIP14911.tsv.gz,181138
HIP13894.tsv.gz,55848
HIP05535.tsv.gz,216519
HIP10377.tsv.gz,319674
HIP13183.tsv.gz,209498
HIP13949.tsv.gz,128352
HIP12980.tsv.gz,201541
HIP03591.tsv.gz,71224
HIP14059.tsv.gz,251121
HIP17698.tsv.gz,182139
HIP05533.tsv.gz,229886
HIP05390.tsv.gz,235756
HIP01160.tsv.gz,129662
HIP13926.tsv.gz,340939
HIP00707.tsv.gz,157597
